site,year,month,prcp,srad,tmax,tmin,temp,GDD
Dahnert,2018,May,180.87,359.4854839,75.44851613,52.67967742,64.06409677,425.493
Dahnert,2018,Jun,171.29,341.482,78.0842,59.7188,68.9015,554.454
Dahnert,2018,Jul,76.53,394.3487097,82.63922581,61.42767742,72.03345161,673.497
Dahnert,2018,Aug,208.05,336.7022581,81.60277419,62.0716129,71.83719355,671.382
Dahnert,2018,Sep,237.53,304.3596667,74.5634,54.4352,64.4993,431.541
Doonan,2019,May,255.52,345.9741935,68.71477419,49.19348387,58.95412903,276.696
Doonan,2019,Jun,142.74,374.2113333,80.0336,60.521,70.2773,599.913
Doonan,2019,Jul,47.94,392.8248387,87.19322581,67.23122581,77.21222581,809.811
Doonan,2019,Aug,79.71,360.2758065,81.392,60.85283871,71.12241935,651.105
Doonan,2019,Sep,229.74,301.761,79.034,59.9582,69.4961,582.111
Doonan,2020,May,132.23,355.4803226,68.43606452,49.43270968,58.9343871,277.632
Doonan,2020,Jun,160.43,391.536,83.2544,62.2484,72.7514,673.128
Doonan,2020,Jul,133.64,372.0767742,85.54941935,66.30741935,75.92841935,779.283
Doonan,2020,Aug,22.71,405.6970968,83.71748387,61.01774194,72.3676129,674.829
Doonan,2020,Sep,175.52,315.2583333,73.7756,52.4576,63.1166,392.616
Doonan,2021,May,142.27,356.9490323,69.14212903,50.31877419,59.73045161,301.95
Doonan,2021,Jun,113.04,384.449,84.4268,63.1274,73.7771,692.496
Doonan,2021,Jul,110.36,368.9158065,82.47954839,64.60090323,73.54022581,717.588
Doonan,2021,Aug,97.03,386.5416129,85.064,63.53658065,74.30029032,731.718
Doonan,2021,Sep,24.7,367.886,81.524,55.988,68.756,556.893
Doudlah,2019,May,158.52,373.6006452,65.35574194,44.86593548,55.11083871,158.436
Doudlah,2019,Jun,106.58,376.3793333,76.6688,55.8902,66.2795,485.955
Doudlah,2019,Jul,109.01,374.1812903,84.63025806,64.31696774,74.4736129,741.933
Doudlah,2019,Aug,120.57,358.7174194,78.56716129,58.02335484,68.29525806,566.721
Doudlah,2019,Sep,171.56,294.049,74.5598,56.4482,65.504,465.12
