,SPC1,SPC2,SPC3,SPC4,SPC5,SPC6
0,-1.4471413969473674,1.4781381975027459,-1.971922771443884,0.4802041379483247,0.45879258063778383,0.5200049070309193
1,-1.4472784908574086,1.4770727236414836,-1.9694217793948434,0.48009679652845827,0.4559716215148371,0.5172332845042836
2,-1.169925294997937,0.9909315277559811,-1.9829895377854891,0.7817675196607958,0.1647578726147544,0.40137710604887394
3,-1.1700623889079753,0.9898660538947051,-1.9804885457364498,0.7816601782409319,0.16193691349180458,0.3986054835222409
4,-1.4042064615426866,1.3270975174193274,-1.9737216183748223,0.607610912085603,0.15247543816728576,0.5354678758336622
5,-1.4043435554527348,1.3260320435580701,-1.9712206263257828,0.607503570665738,0.14965447904433218,0.5326962533070249
6,-1.420861247968286,1.2917499003600161,-2.06827790685307,0.555454362799264,0.15937796351550534,0.44077707216662143
7,-1.4209983418783303,1.2906844264987558,-2.065776914804034,0.5553470213793957,0.15655700439255474,0.43800544963998167
8,-1.4550136848550974,1.3766635899667685,-1.9544838003003955,0.554114881256254,0.4083437226898102,0.4997559252232925
9,-1.4551507787651388,1.3755981161055113,-1.951982808251364,0.5540075398363862,0.40552276356685935,0.49698430269665556
10,-1.2609710479933498,1.2851363116962453,-1.9176210518609944,0.6249948984238968,-0.03736819316672576,0.40116045821602825
11,-1.2611081419033936,1.2840708378349872,-1.9151200598119569,0.6248875570040343,-0.04018915228967611,0.39838883568939026
12,-1.247176855691413,1.1752885145794607,-1.9552679039165055,0.57925554532386,0.059266219757882196,0.30085313402136465
13,-1.2473139496014556,1.1742230407182008,-1.9527669118674669,0.5791482039039941,0.05644526063493244,0.2980815114947281
14,-1.3595110601326226,1.3237898107713,-1.9749201341188318,0.4707275160860666,0.14525486579925861,0.3585317326112635
15,-1.359648154042666,1.3227243369100394,-1.9724191420697925,0.4706201746661984,0.1424339066763057,0.35576011008462854
16,0.05319317696230588,2.6486883265800896,0.8599584890688686,-1.4056797731749002,-0.659255512980454,2.645091233399688
17,0.0530560830522624,2.647622852718831,0.8624594811179065,-1.405787114594767,-0.662076472103405,2.642319610873052
18,0.04574150664840283,2.2114183988329055,0.7082759181597659,-1.3328529662895272,-0.5700602959222594,2.5058386698132247
19,0.04560441273836041,2.2103529249716454,0.7107769102088043,-1.3329603077093946,-0.5728812550452105,2.503067047286589
20,0.18397055125911713,2.837016835076343,1.0960945727250646,-1.4582354185900908,-0.34768786261215795,2.5912335210012345
21,0.18383345734907441,2.835951361215082,1.0985955647741028,-1.4583427600099574,-0.3505088217351085,2.588461898474599
22,-0.0016353685420305273,2.3526364665706363,0.7982623417006335,-1.2090774807712206,-0.49559849195581124,2.724255844200524
23,-0.0017724624520733699,2.3515709927093775,0.8007633337496721,-1.209184822191088,-0.4984194510787625,2.721484221673888
24,-0.0395392865687525,2.1694571001651806,0.6900747298995262,-1.2406953310926014,-0.5184421187133236,2.6324935500134163
25,-0.039676380478795924,2.1683916263039196,0.6925757219485643,-1.2408026725124677,-0.5212630778362739,2.62972192748678
