"","pH","Su","P","Ca","Mg","K","Na","SOC","TN","InorgN","Bray1P","POMC","POMN","PMN","Sand","Silt","Clay","FDA"
"53",6.5,13,10,3973,784,189,14,23.151,1.789,10.9,8,1.968955224,0.135124378,55.752,9,34,57,27.1
"54",6.5,13,10,3973,784,189,14,23.151,1.789,10.9,8,1.968955224,0.135124378,55.752,9,34,57,27.1
"55",6.7,13,24,4562,734,215,14,23.151,1.789,10.9,8,1.968955224,0.135124378,55.752,9,34,57,27.1
"56",6.7,13,24,4562,734,215,14,23.151,1.789,10.9,8,1.968955224,0.135124378,55.752,9,34,57,27.1
"57",5.8,15,130,1289,220,201,22,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"58",5.8,15,130,1289,220,201,22,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"59",6,12,51,1338,207,115,18,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"60",6,12,51,1338,207,115,18,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"61",5.4,13,102,1139,195,130,15,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"62",5.4,13,102,1139,195,130,15,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"63",6,12,52,1321,208,91,16,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"64",6,12,52,1321,208,91,16,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"65",5.6,10,32,646,106,74,14,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"66",5.6,10,32,646,106,74,14,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"67",5.5,14,109,1399,220,173,13,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"68",5.5,14,109,1399,220,173,13,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"69",5.9,11,36,910,127,64,15,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"70",5.9,11,36,910,127,64,15,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"71",5.9,13,103,1295,201,160,17,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"72",5.9,13,103,1295,201,160,17,12.378,1.069,11.8,50,0.927761194,0.077313433,58.184,75,14,11,10.2
"73",6.3,11,32,4193,630,86,16,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"74",6.3,11,32,4193,630,86,16,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"75",6.5,10,33,4206,617,100,16,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"76",6.5,10,33,4206,617,100,16,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"77",6.5,12,25,4297,639,140,41,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"78",6.5,12,25,4297,639,140,41,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"79",6.6,10,26,4199,639,81,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"80",6.2,11,27,4329,677,88,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"81",6.2,13,36,4301,668,117,18,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"82",6.6,10,26,4199,639,81,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"83",6.2,11,27,4329,677,88,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"84",6.2,13,36,4301,668,117,18,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"85",6.3,11,33,3932,588,95,14,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"86",6.3,11,33,3932,588,95,14,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"87",6.3,10,24,4168,616,80,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"88",6.3,10,24,4168,616,80,17,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"89",6.2,10,28,4117,619,74,14,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"90",6.2,10,28,4117,619,74,14,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"91",6.5,12,23,4360,656,99,19,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"92",6.5,12,23,4360,656,99,19,26.5,1.859,14.9,18,1.315621891,0.089751244,62.28,2,63,35,47.3
"93",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"94",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"95",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"96",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"97",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"98",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"99",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"100",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"101",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"102",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"103",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"104",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"105",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"106",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"107",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"108",6.41329444444444,15.7495281385281,41.0734880952381,2870.001054155,571.339640040515,165.702351648352,26.5064144355644,19.4127857142,1.88082714284,23.0627468036,19.65857142856,2.40300848083,0.17018982465,34.60677517195,9.56,43.65,46.96,24.372
"109",7.1,9,32,3051,553,140.5,32,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"110",7.15,8,42,3096.5,487,137,31,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"111",7.15,7.5,35.5,3032.5,457,127.5,30.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"112",7.2,7,27.5,2970.5,473,112,29.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"113",7.15,11,40,3144.5,512,150,31.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"114",6.8,8.5,33.5,3705.5,670,150,32.5,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"115",6.95,8.5,47,3293,527,167,31,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"116",6.9,9,64,3844,498,207,28,12.4865,1.233,27.58547909,22,1.935535758,0.135568525,29.03958623,5,31,64,20.4
"117",6.7,16,119.5,2101.5,201,161.5,28.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"118",6.35,17.5,131.5,2205.5,218,177.5,29.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"119",6.3,15,80,2044.5,216.5,183.5,25,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"120",6.7,15,124,2229,301,145.5,27.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"121",6.55,15,103.5,2228,234,192,26.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"122",6.2,13.5,80.5,1929.5,182,180,23,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"123",5.95,15.5,100.5,1913,182,166.5,24.5,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"124",6,15,105,1726.5,170,151,25,14.3105,1.4395,17.89632643,72.5,2.390929074,0.179368287,38.09946772,37,21,42,23.4
"125",6.65,14,76,1672,296,163.5,36.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"126",6.5,12.5,65,1649,299.5,139.5,25.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"127",7,11.5,78,1534,298.5,176.5,22,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"128",6.4,11,46,1874.5,349,160.5,25.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
"129",6.75,10,65,1696,329.5,182.5,22.5,9.7285,1.1495,24.97724517,50,1.20483094,0.09292292,33.93618728,53,11,36,8
