EXP,YR,FAR,FC,STATE,HYB,CODE,NOP1,NOP2,PHT1,PHT2,EHT1,EHT2,SDL1,SDL2,SDS1,SDS2,MST1,MST2,TWT1,TWT2,KWT3001,KWT3002,GWT1,GWT2,PRO1,PRO2,OIL1,OIL2,STA1,STA2,DEN1,DEN2,FIB1,FIB2,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHW52*LH185,UIUC7,20,26,237.3333333,243.5,101.6666667,106,24.28333333,25.25,22.50666667,23.53,8.5,8.3,63.2,63.1,55,55,2259.3,2879.3,8.3,8.3,3.5,3.5,72.7,72.7,1.297,1.297,10.07,10.07,12.675,6.65,2.25,65,14,76,1672,296,163.5,36.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,17.461,ORG1,20,21,212,224.5,108,122.5,21.73666667,23.545,19.31333333,21.295,7.8,7.8,55.7,55.3,66,66,2414.8,1983.8,8.1,8.1,4.7,4.7,70.6,70.6,1.137,1.137,9.58,9.58,12.795,6.5,2.235,64.5,12.5,65,1649,299.5,139.5,25.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHHB9*PHZ51,UIUC4,26,25,262.6666667,259,109.6666667,102,22.23666667,22.595,20.28333333,20.845,8.9,8.1,61.3,60.6,71,71,3244.6,3841,7.6,7.6,3.3,3.3,73.2,73.2,1.26,1.26,10,10,11.2,7,2.195,64,11.5,78,1534,298.5,176.5,22
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHHB9*PHW30,UIUC3,29,17,238.3333333,246.5,93.66666667,104,25.64333333,25.3,22.08666667,21.965,8.2,7.9,63.1,65.3,72,72,3472,3575.4,7.3,7.3,3.4,3.4,73.5,73.5,1.272,1.272,10.08,10.08,14.855,6.4,1.89,58,11,46,1874.5,349,160.5,25.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,59R5,Check1,26,24,243.3333333,249,106.6666667,105.5,21.74,20.38,19.65,18.37,8.2,8.6,62.7,62.5,72,72,3318.8,3550.9,7.1,7.1,2.8,2.8,74.4,74.4,1.261,1.261,10.14,10.14,12.875,6.75,2.07,61.5,10,65,1696,329.5,182.5,22.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHHB9*PHM49,UIUC1,25,23,220,216.5,93.33333333,98.5,23.39666667,21.85,20.88666667,20.22,8.4,8.5,64.7,63.3,72,72,3250.3,3292.3,7.8,7.8,3.2,3.2,73.3,73.3,1.281,1.281,10.09,10.09,13.73,6.5,2.02,60.5,11,56,1787.5,318,134,23.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,PHHB9*PHR63,UIUC2,24,24,232.3333333,230,88.66666667,99.5,24.36333333,25.3,21.54666667,22.805,9.1,8.8,63.6,62.4,74,74,3825.7,3305.9,8.6,8.6,3.5,3.5,72.4,72.4,1.296,1.296,10.05,10.05,12.73,6.85,2.085,62,11,78.5,1691,340.5,178.5,21.5
OREI_STRIPS_TRIAL,2019,Longwell,DL,INDIANA,17.2B241,ORG4,27,24,199.3333333,203.5,104.3333333,114,20.12,22.665,17.79333333,20.055,8.3,8,57.1,56,66,66,3074.9,3679.2,9.5,9.5,4.6,4.6,69.3,69.3,1.155,1.155,9.45,9.45,13.64,6.8,2.02,60,11,67,1849,341.5,159.5,22.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,17.461,ORG1,27,23,.,.,.,.,.,.,.,.,11.9,12.2,48,46.7,NA,NA,335,328.7,7.7,7.7,3.7,3.7,72.9,72.9,1.275,1.275,10.11,10.11,21.075,7.45,3.29,82.5,13,55.5,2949.5,583,175,42.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,17.2B241,ORG4,26,28,.,.,.,.,.,.,.,.,8.8,9.3,57.5,57.4,NA,NA,507.8,607.1,7.7,7.7,3.8,3.8,72.8,72.8,1.286,1.286,10.12,10.12,22.665,7.55,3.39,83.5,16,52.5,3136.5,651.5,197,40
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,PHHB9*PHM49,UIUC1,28,30,.,.,.,.,.,.,.,.,15.1,NA,23.6,,NA,NA,139.1,86.4,8.5,8.5,3.9,3.9,72.1,72.1,1.279,1.279,10.1,10.1,22.95,7.3,3.515,85,13,59,3171.5,654.5,191.5,47.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,PHHB9*PHR63,UIUC2,26,30,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.7,3.7,3.7,72.7,72.7,1.258,1.258,10.05,10.05,23.865,7.35,3.505,85,13,83.5,3363,639,221,43.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,PHHB9*PHW30,UIUC3,31,31,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,25.69,7.45,3.595,86,18.5,106.5,3574,710.5,258.5,51.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,PHHB9*PHZ51,UIUC4,29,26,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,30.49,7.3,3.64,86.5,19.5,82.5,4272.5,827,289,56.5
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,PHW52*LH185,UIUC7,28,30,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,28.97,7.5,3.695,87,17.5,90,3976.5,836,296,53
OREI_STRIPS_TRIAL,2019,Bryan,EB,INDIANA,59R5,Check1,30,27,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA,NA,.,.,.,.,.,.,.,.,.,.,30.985,7.25,4.195,92,18,93.5,4464,775,278,48.5
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,PHHB9*PHZ51,UIUC4,29,29,257.6666667,270.5,108.6666667,118.5,23.90666667,24.205,21.61,21.33,8.9,7.9,61.7,64.5,77,77,3868.2,3742.8,7.6,7.6,3.5,3.5,73,73,1.265,1.265,10,10,18.9,7.1,2.455,69,21.5,393.5,2483,572,300,31
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,PHHB9*PHW30,UIUC3,31,24,242.3333333,231,91.66666667,104,25.37666667,23.47,22.76,20.72,9.3,9,63.4,63.6,77,77,3217.3,4123.9,8.6,8.6,3.7,3.7,72.2,72.2,1.3,1.3,10.09,10.09,16.9,7.3,2.61,71.5,17,411.5,2209.5,501,340,26
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,17.461,ORG1,29,28,222,221.5,115.6666667,114.5,24.65666667,22.59,21.89333333,20.295,7.3,7.3,58.5,58.6,76,76,3190.6,3140,10.1,10.1,4.7,4.7,69,69,1.157,1.157,9.51,9.51,23.02,7.25,3.33,83,22.5,666.5,3203,590,389,31.5
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,17.2B241,ORG4,23,26,222,227,118,112,22.83,22.95,21.04333333,20.605,8.3,7.9,58,58,69,69,3498.9,3307.1,8.6,8.6,4.6,4.6,70.2,70.2,1.165,1.165,9.52,9.52,19.96,7.15,3.545,85.5,21,537.5,2743,541.5,296,29.5
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,59R5,Check1,25,25,236,237.5,100,103.5,22.64,26.81,20.24333333,23.25,8.2,8.8,64.4,63.6,60,60,2805.7,3229.1,9,9,3.1,3.1,72.7,72.7,1.295,1.295,10.12,10.12,21.94,7.25,3.105,81.5,21,529,3011,615,268,37
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,PHHB9*PHM49,UIUC1,27,30,217.6666667,223.5,104.6666667,96.5,21.54666667,22.045,20.15666667,20.48,8.7,9.2,64.3,64.1,66,66,3650.8,3543.6,7.9,7.9,3.5,3.5,72.9,72.9,1.276,1.276,10.07,10.07,24.67,7.25,3.54,85.5,27,793,3530.5,586,375,34.5
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,PHW52*LH185,UIUC7,27,26,255.3333333,251.5,121,125,25.69333333,25.35,23.44333333,23.045,7.9,8.4,64.9,66.7,70,70,3216.1,4033.5,7.8,7.8,3.7,3.7,72.9,72.9,1.285,1.285,10.09,10.09,22.62,7.3,3.135,81,22,654.5,3119.5,602.5,357,36
OREI_STRIPS_TRIAL,2019,Steiner,GS,INDIANA,PHHB9*PHR63,UIUC2,31,26,232.6666667,242,108.6666667,113.5,24.20333333,23.88,22.28666667,22.085,8.8,9.1,63.8,62.9,76,76,3988.2,3560.1,7.5,7.5,3.6,3.6,72.9,72.9,1.273,1.273,10.03,10.03,21.67,7.2,3.17,81.5,20.5,647,3059,550,286.5,33.5
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,PHW52*LH185,UIUC7,30,31,241.3333333,244.5,94.33333333,96.5,20.97,20.26,19.19333333,18.21,8.3,8.6,64,62.3,77,77,3391.8,3822.4,9,9,3.7,3.7,72.1,72.1,1.305,1.305,10.11,10.11,35.02,6.85,4.57,96,9.5,64.5,5263.5,678,204.5,29
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,17.461,ORG1,29,22,211.3333333,220.5,105,104.5,20.63333333,21.37,18.83333333,19.245,7.4,6.7,57.8,60,87,87,3327.2,2809.2,9.4,9.4,4.7,4.7,69.2,69.2,1.129,1.129,9.4,9.4,34.865,6.75,4.445,94.5,8.5,66,5122.5,679,217,25.5
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,PHHB9*PHR63,UIUC2,30,30,221,218.5,101.6666667,106,24.08,21.86,21.30333333,19.965,7.5,7.2,63.8,65.1,74,74,3583.2,3669.6,8.7,8.7,3.7,3.7,72.2,72.2,1.284,1.284,10.03,10.03,35.5,6.75,4.7,97,9.5,83,5188,685.5,295,26.5
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,17.2B241,ORG4,29,24,220,219,112.3333333,103,21.88666667,21.125,19.53666667,19.785,7.8,7.4,57.5,58.2,77,77,3321.9,3928.2,9.1,9.1,4.6,4.6,69.6,69.6,1.14,1.14,9.43,9.43,35.015,6.55,4.76,97.5,10.5,82.5,4920.5,655,287,28
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,PHHB9*PHZ51,UIUC4,31,21,257,254,100.3333333,101,20.38,18.21,18.86666667,17.22,7.6,8.1,62.5,63.2,76,76,3455.9,3214.9,8.4,8.4,3.6,3.6,72.5,72.5,1.274,1.274,10.02,10.02,32.575,6.75,4.65,96.5,8.5,45.5,4763.5,659,158,27.5
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,PHHB9*PHW30,UIUC3,32,30,243.6666667,239,93.33333333,84,20.58333333,19.6,18.54333333,17.56,7.6,8.2,63.5,61.6,75,75,3783,4265,8.4,8.4,3.5,3.5,72.6,72.6,1.283,1.283,10.02,10.02,33.945,6.85,4.715,97,9.5,62.5,5039,676.5,265,29
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,59R5,Check1,31,30,233.3333333,261,96,94,21.55,20.58,19.48,17.855,8.3,8,64.5,65.9,79,79,4734.4,4310.1,8.5,8.5,3,3,73.2,73.2,1.291,1.291,10.1,10.1,38.645,6.55,5.1,100,11.5,47.5,5441.5,753.5,205.5,31
OREI_STRIPS_TRIAL,2019,Gruver,JG1,ILLINOIS,PHHB9*PHM49,UIUC1,33,32,211.3333333,222.5,84,84.5,21.06333333,20.625,19.6,18.37,7.8,8.4,63.4,62.6,75,75,3323.4,3481,8.8,8.8,3.4,3.4,72.7,72.7,1.295,1.295,10.13,10.13,36.36,6.55,5.08,100.5,16,72,5085.5,695.5,280,33.5
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,PHHB9*PHZ51,UIUC4,44,44,214,223.5,94.33333333,93.5,16.34666667,16.29,14.89,14.14,8,7.9,61.6,61.1,74,74,3621.6,2652.5,7.5,7.5,3.2,3.2,73.6,73.6,1.265,1.265,10.1,10.1,32.845,6.1,4.46,94.5,12,47.5,4193,614.5,180.5,33.5
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,PHHB9*PHR63,UIUC2,40,40,197.6666667,210.5,83.66666667,104,17.97666667,22.61,16.17666667,20.7,8.5,8.1,61.8,63.8,70,70,2706.1,3443.3,7.7,7.7,3.1,3.1,73.7,73.7,1.279,1.279,10.12,10.12,37.03,5.95,4.46,94.5,11.5,23,4611,626,174.5,33.5
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,PHHB9*PHW30,UIUC3,49,37,218.6666667,207.5,99.33333333,100.5,19.84,18.42,16.83,16.07,7.7,8,64.7,61.9,77,77,2978.7,3519.3,8,8,3,3,73.6,73.6,1.279,1.279,10.12,10.12,35.195,5.9,4.48,94.5,11,24.5,4332,560,156.5,33
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,PHHB9*PHM49,UIUC1,42,40,189,188.5,81.66666667,81.5,17.83,17.6,16.42666667,16.145,8.1,7.7,64.2,64.6,78,78,2148.4,2602.6,7.8,7.8,3,3,73.8,73.8,1.269,1.269,10.13,10.13,37.81,5.9,4.505,95,10.5,24,4665,590,164,34
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,17.461,ORG1,39,37,162,191,92.33333333,90,16.81,19.64,14.85666667,18.14,6.9,6.8,56.2,56.9,70,70,2415.2,2181.3,8,8,4.2,4.2,71.4,71.4,1.14,1.14,9.7,9.7,34.47,6.05,4.67,97,9.5,20.5,4482.5,583.5,123.5,31
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,17.2B241,ORG4,43,41,188.3333333,189.5,108,91,17.00666667,18.89,16.24333333,17.035,7.5,7.2,55.4,56.1,59,59,817,774.5,7.3,7.3,4.1,4.1,72.2,72.2,1.143,1.143,9.73,9.73,34.69,5.9,4.69,96.5,10,27.5,4325.5,515.5,159.5,29.5
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,PHW52*LH185,UIUC7,38,42,201.3333333,209.5,81.33333333,86,19.83333333,22.4,16.83333333,19.65,7.5,7.8,62.7,62.5,87,87,1321.1,1243.1,7.8,7.8,3.2,3.2,73.7,73.7,1.286,1.286,10.18,10.18,35.54,5.9,4.955,99,9.5,25.5,4472.5,519,130.5,29.5
OREI_STRIPS_TRIAL,2019,Doonan,TD,ILLINOIS,59R5,Check1,27,36,.,.,.,.,.,.,.,,7.5,7.5,59.8,59.9,69,69,1576.4,1425.5,7.3,7.3,2.9,2.9,74.5,74.5,1.266,1.266,10.21,10.21,33.73,6,4.875,99,9,24,4394,530.5,121,33.5
